id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
80,"@celebesewako6816","Wouw 🤣🤣😭","Ugx_GbZJfEPrIB_5rwJ4AaABAg.A3UaHOXmKT2A3s-fkOlgbF","@RianNurzaky-dy6gr",1,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugx_GbZJfEPrIB_5rwJ4AaABAg.A3UaHOXmKT2A3s-fkOlgbF","2024-05-25 12:36:42",0,"Wouw 🤣🤣😭","http://www.youtube.com/@celebesewako6816",
81,"@yogariyo5031","Seandainya ahok dulu yg jdi guberbur pasti sdh lebih bagus reklamasi jakarta berbentul garuda , smua krna anis d batalin smua","UgyaSku_L1WTC5WDNUZ4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgyaSku_L1WTC5WDNUZ4AaABAg","2024-05-15 22:15:41",0,"Seandainya ahok dulu yg jdi guberbur pasti sdh lebih bagus reklamasi jakarta berbentul garuda , smua krna anis d batalin smua","http://www.youtube.com/@yogariyo5031",
82,"@wifilengkong3703","the next PIK.. dari timur","UgyK1k7rXUWY9-PU1p14AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgyK1k7rXUWY9-PU1p14AaABAg","2024-05-15 01:26:20",0,"the next PIK.. dari timur","http://www.youtube.com/@wifilengkong3703",
83,"@herawanaan2645","di jakarta banyak orng miskin gak setuju reklamasi....karena takut membuat banjir😂","UgwtIJWXYrx71OwO76R4AaABAg","",3,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwtIJWXYrx71OwO76R4AaABAg","2024-05-14 13:03:22",0,"di jakarta banyak orng miskin gak setuju reklamasi....karena takut membuat banjir😂","http://www.youtube.com/@herawanaan2645",
84,"@wahyurindi1719","Indah tempatnya....ini sekarang saya lagi kerja di sini...tepatnya di rumahsakit vertikal makassar....","UgwR_B7X-cdRcFvhxIJ4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwR_B7X-cdRcFvhxIJ4AaABAg","2024-05-14 11:42:22",0,"Indah tempatnya....ini sekarang saya lagi kerja di sini...tepatnya di rumahsakit vertikal makassar....","http://www.youtube.com/@wahyurindi1719",
85,"@jorandan9066","Sayang Pak Prof terpeleset, andaikan pak prof lanjut memimpin sulsel, diyakini SulSel akan cepat bergerak maju terutama dlm bidang infrastruktur dan jasa lainnya","UgwysKokmgX1FIKZho94AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwysKokmgX1FIKZho94AaABAg","2024-05-14 05:14:51",0,"Sayang Pak Prof terpeleset, andaikan pak prof lanjut memimpin sulsel, diyakini SulSel akan cepat bergerak maju terutama dlm bidang infrastruktur dan jasa lainnya","http://www.youtube.com/@jorandan9066",
86,"@user-gc4es9uf5f","Hahaha dulu di jakarta jaman Anies dicabut izin nya sekarang pindah ke Makassar 😂","UgxZHPGvdnXq1_KPCq14AaABAg","",1,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgxZHPGvdnXq1_KPCq14AaABAg","2024-05-14 01:37:02",0,"Hahaha dulu di jakarta jaman Anies dicabut izin nya sekarang pindah ke Makassar 😂","http://www.youtube.com/@user-gc4es9uf5f",
87,"@agustriyanto1904","Dulu di demo abis abisan ,tapi setelah d bangun masjid yg ikonik ug demo ga berani muncul ,, karena ada masjid d dalamnya","UgzVIlOIUnbzP20xIeR4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgzVIlOIUnbzP20xIeR4AaABAg","2024-05-13 23:50:34",0,"Dulu di demo abis abisan ,tapi setelah d bangun masjid yg ikonik ug demo ga berani muncul ,, karena ada masjid d dalamnya","http://www.youtube.com/@agustriyanto1904",
88,"@SriiSanjaya","𝑷𝒆𝒓𝒄𝒂𝒚𝒂 🇮🇩𝒏𝒆𝒈𝒂𝒓𝒂 𝒃𝒔𝒓","UgyF2KXyjRjmBpZfo6d4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgyF2KXyjRjmBpZfo6d4AaABAg","2024-05-13 21:13:12",0,"𝑷𝒆𝒓𝒄𝒂𝒚𝒂 🇮🇩𝒏𝒆𝒈𝒂𝒓𝒂 𝒃𝒔𝒓","http://www.youtube.com/@SriiSanjaya",
89,"@user-ji8sh9gn6o","dalam hati ( konglomerat) lu kira gua nyerah gagal di jakarta. gegar si anies mnang pilgub dki duit gua gak terbatas gua pilih daerah lain untuk jalankan bisnis reklamasi gua gua tinggal telp sebut angka nominal berapa yg di mau sama si pejab terkait kelepek itu orang","Ugwk0oGMXnGlTKsw5014AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugwk0oGMXnGlTKsw5014AaABAg","2024-05-13 19:33:44",0,"dalam hati ( konglomerat) lu kira gua nyerah gagal di jakarta. gegar si anies mnang pilgub dki duit gua gak terbatas gua pilih daerah lain untuk jalankan bisnis reklamasi gua gua tinggal telp sebut angka nominal berapa yg di mau sama si pejab terkait kelepek itu orang","http://www.youtube.com/@user-ji8sh9gn6o",
90,"@ahmadkomari5791","Keren kemajuan luar biasa makasar hrs beran mngambil resiko dan gebrakan utk memajukan daerah. Jika pemimpin daerah hny brdiam diri tidak akan ad kemajuan utk daerah ny sendiri . d daerah smg aj blm ad pantai reklamasi yg bisa mngundang wisatawan baik lokal maupun mancanegara","Ugw8dwcc2wS67VueLDZ4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugw8dwcc2wS67VueLDZ4AaABAg","2024-05-13 14:36:25",0,"Keren kemajuan luar biasa makasar hrs beran mngambil resiko dan gebrakan utk memajukan daerah. Jika pemimpin daerah hny brdiam diri tidak akan ad kemajuan utk daerah ny sendiri . d daerah smg aj blm ad pantai reklamasi yg bisa mngundang wisatawan baik lokal maupun mancanegara","http://www.youtube.com/@ahmadkomari5791",
91,"@kokikofoodasmr","Makassar keyen","UgwcAo8wZ5OhArbckFJ4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=UgwcAo8wZ5OhArbckFJ4AaABAg","2024-05-13 12:50:34",0,"Makassar keyen","http://www.youtube.com/@kokikofoodasmr",
92,"@Anton1_3560","Assalammualaikum salam Anton Madura Indonesia bro; ya AllAH... Aamiin ya AllAH 🙂☝️👍👍💓🌍🌟🌟🌟🌟🌟🇮🇩","Ugx8HAk_WDxTyUWPdjJ4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugx8HAk_WDxTyUWPdjJ4AaABAg","2024-05-13 07:15:26",1,"Assalammualaikum salam Anton Madura Indonesia bro; ya AllAH... Aamiin ya AllAH 🙂☝️👍👍💓🌍🌟🌟🌟🌟🌟🇮🇩","http://www.youtube.com/@Anton1_3560",
93,"@AFA99CHANNEL","Waalaikumsalam...","Ugx8HAk_WDxTyUWPdjJ4AaABAg.A3NXNCzv9uXA3NXSmIpBmr","@Anton1_3560",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugx8HAk_WDxTyUWPdjJ4AaABAg.A3NXNCzv9uXA3NXSmIpBmr","2024-05-13 07:16:11",0,"Waalaikumsalam...","http://www.youtube.com/@AFA99CHANNEL",
94,"@muhammadrusli7495","Histori dan kenangan pantai losari seketila hilang.. 😓","Ugz7n38nMKSKfvifcTx4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugz7n38nMKSKfvifcTx4AaABAg","2024-05-13 06:08:01",0,"Histori dan kenangan pantai losari seketila hilang.. 😓","http://www.youtube.com/@muhammadrusli7495",
95,"@indra_motovlog1879","Sisa nya up sdm agar tidak merusak fasilitas umum dan menjaga kebersihan... Selain itu ada baik nya membuat rmh susung atau apartemen yg tinggi agar tidak mengambil banyak lahan.... Di karenakan makassar sudah padat...","Ugw_IaS5_eZZykU-4Ld4AaABAg","",0,"https://www.youtube.com/watch?v=BWN5Nnxv4bg&lc=Ugw_IaS5_eZZykU-4Ld4AaABAg","2024-05-12 23:50:55",0,"Sisa nya up sdm agar tidak merusak fasilitas umum dan menjaga kebersihan... Selain itu ada baik nya membuat rmh susung atau apartemen yg tinggi agar tidak mengambil banyak lahan.... Di karenakan makassar sudah padat...","http://www.youtube.com/@indra_motovlog1879",
