description,cleansing,case_folding,tokenize,filtering/stopword removal,stemming_data
Makassar kan mau di jadikan seperti shenzhen 🤣 jakarta nyampe ke level shenzhen tdk nyampe juga 🤣,Makassar kan mau di jadikan seperti shenzhen  jakarta nyampe ke level shenzhen tdk nyampe juga ,makassar kan mau di jadikan seperti shenzhen  jakarta nyampe ke level shenzhen tdk nyampe juga ,"['makassar', 'kan', 'mau', 'di', 'jadikan', 'seperti', 'shenzhen', 'jakarta', 'nyampe', 'ke', 'level', 'shenzhen', 'tdk', 'nyampe', 'juga']","['makassar', 'jadikan', 'shenzhen', 'jakarta', 'nyampe', 'level', 'shenzhen', 'tdk', 'nyampe']",makassar jadi shenzhen jakarta nyampe level shenzhen tdk nyampe
Hehehehe.. Shenzen Versi Kumuh ya..😂😂😂,Hehehehe Shenzen Versi Kumuh ya,hehehehe shenzen versi kumuh ya,"['hehehehe', 'shenzen', 'versi', 'kumuh', 'ya']","['hehehehe', 'shenzen', 'versi', 'kumuh', 'ya']",hehehehe shenzen versi kumuh ya
@@astagina1745 di jakarta lbh banyak kumuh ny dari moderen ny bagus ny🤣,astagina di jakarta lbh banyak kumuh ny dari moderen ny bagus ny,astagina di jakarta lbh banyak kumuh ny dari moderen ny bagus ny,"['astagina', 'di', 'jakarta', 'lbh', 'banyak', 'kumuh', 'ny', 'dari', 'moderen', 'ny', 'bagus', 'ny']","['astagina', 'jakarta', 'lbh', 'kumuh', 'ny', 'moderen', 'ny', 'bagus', 'ny']",astagina jakarta lbh kumuh ny moderen ny bagus ny
Jakarta 30 kota trbesar China aja mungkin gk masuk,Jakarta  kota trbesar China aja mungkin gk masuk,jakarta  kota trbesar china aja mungkin gk masuk,"['jakarta', 'kota', 'trbesar', 'china', 'aja', 'mungkin', 'gk', 'masuk']","['jakarta', 'kota', 'trbesar', 'china', 'aja', 'gk', 'masuk']",jakarta kota trbesar china aja gk masuk
"@@Nerio-gv5gd beda level kota besar china dg jakarta 🤣 mungkin dg kota di asia selatan baru pas sm"" Banyak semrawut ny dan kumuh ny🤣",Neriogvgd beda level kota besar china dg jakarta  mungkin dg kota di asia selatan baru pas sm Banyak semrawut ny dan kumuh ny,neriogvgd beda level kota besar china dg jakarta  mungkin dg kota di asia selatan baru pas sm banyak semrawut ny dan kumuh ny,"['neriogvgd', 'beda', 'level', 'kota', 'besar', 'china', 'dg', 'jakarta', 'mungkin', 'dg', 'kota', 'di', 'asia', 'selatan', 'baru', 'pas', 'sm', 'banyak', 'semrawut', 'ny', 'dan', 'kumuh', 'ny']","['neriogvgd', 'beda', 'level', 'kota', 'china', 'dg', 'jakarta', 'dg', 'kota', 'asia', 'selatan', 'pas', 'sm', 'semrawut', 'ny', 'kumuh', 'ny']",neriogvgd beda level kota china dg jakarta dg kota asia selatan pas sm semrawut ny kumuh ny
Iya apalagi yang ini😂😂 tanah nya juga bisa² ambruk,Iya apalagi yang ini tanah nya juga bisa ambruk,iya apalagi yang ini tanah nya juga bisa ambruk,"['iya', 'apalagi', 'yang', 'ini', 'tanah', 'nya', 'juga', 'bisa', 'ambruk']","['iya', 'tanah', 'nya', 'ambruk']",iya tanah nya ambruk
"Gimana nggak kalahi jakarta bang, makasar didukung sdg jakarta diprotes dan dibawa keranah politik sama orang-2 yg nggak ngerti   munafik lagi.",Gimana nggak kalahi jakarta bang makasar didukung sdg jakarta diprotes dan dibawa keranah politik sama orang yg nggak ngerti   munafik lagi,gimana nggak kalahi jakarta bang makasar didukung sdg jakarta diprotes dan dibawa keranah politik sama orang yg nggak ngerti   munafik lagi,"['gimana', 'nggak', 'kalahi', 'jakarta', 'bang', 'makasar', 'didukung', 'sdg', 'jakarta', 'diprotes', 'dan', 'dibawa', 'keranah', 'politik', 'sama', 'orang', 'yg', 'nggak', 'ngerti', 'munafik', 'lagi']","['gimana', 'nggak', 'kalahi', 'jakarta', 'bang', 'makasar', 'didukung', 'sdg', 'jakarta', 'diprotes', 'dibawa', 'keranah', 'politik', 'orang', 'yg', 'nggak', 'ngerti', 'munafik']",gimana nggak kalah jakarta bang makasar dukung sdg jakarta protes bawa ranah politik orang yg nggak ngerti munafik
Waktu pemilihan gubernur jakarta yaa waktu itu. Sudah jalan. Di berhentikan eh tau nya diperbolehkan ditempati. Yg penting beda aja dulu sama program.petahana. di goreng akan punya china. Bahkan isu liar nya 20 juta rakyat china akan masuk di area reklamasi jakarta. Berita hoaxs sampai segitunya.,Waktu pemilihan gubernur jakarta yaa waktu itu Sudah jalan Di berhentikan eh tau nya diperbolehkan ditempati Yg penting beda aja dulu sama programpetahana di goreng akan punya china Bahkan isu liar nya  juta rakyat china akan masuk di area reklamasi jakarta Berita hoaxs sampai segitunya,waktu pemilihan gubernur jakarta yaa waktu itu sudah jalan di berhentikan eh tau nya diperbolehkan ditempati yg penting beda aja dulu sama programpetahana di goreng akan punya china bahkan isu liar nya  juta rakyat china akan masuk di area reklamasi jakarta berita hoaxs sampai segitunya,"['waktu', 'pemilihan', 'gubernur', 'jakarta', 'yaa', 'waktu', 'itu', 'sudah', 'jalan', 'di', 'berhentikan', 'eh', 'tau', 'nya', 'diperbolehkan', 'ditempati', 'yg', 'penting', 'beda', 'aja', 'dulu', 'sama', 'programpetahana', 'di', 'goreng', 'akan', 'punya', 'china', 'bahkan', 'isu', 'liar', 'nya', 'juta', 'rakyat', 'china', 'akan', 'masuk', 'di', 'area', 'reklamasi', 'jakarta', 'berita', 'hoaxs', 'sampai', 'segitunya']","['pemilihan', 'gubernur', 'jakarta', 'yaa', 'jalan', 'berhentikan', 'eh', 'tau', 'nya', 'diperbolehkan', 'ditempati', 'yg', 'beda', 'aja', 'programpetahana', 'goreng', 'china', 'isu', 'liar', 'nya', 'juta', 'rakyat', 'china', 'masuk', 'area', 'reklamasi', 'jakarta', 'berita', 'hoaxs', 'segitunya']",pilih gubernur jakarta yaa jalan henti eh tau nya boleh tempat yg beda aja programpetahana goreng china isu liar nya juta rakyat china masuk area reklamasi jakarta berita hoaxs segitunya
​@@galihgumilar2347gara2 habib2 sialan itu bang,galihgumilargara habib sialan itu bang,galihgumilargara habib sialan itu bang,"['galihgumilargara', 'habib', 'sialan', 'itu', 'bang']","['galihgumilargara', 'habib', 'sialan', 'bang']",galihgumilargara habib sial bang
Cpi tujuan nya untuk mencegah air rob banjir menghantam pisisir maka nya dibuat reklamasi fungsi utama nya utk cagar alam dan wisata alam bukan jadi buat bangun bangunan lama² juga bakalan hancur dengan sendiri nya,Cpi tujuan nya untuk mencegah air rob banjir menghantam pisisir maka nya dibuat reklamasi fungsi utama nya utk cagar alam dan wisata alam bukan jadi buat bangun bangunan lama juga bakalan hancur dengan sendiri nya,cpi tujuan nya untuk mencegah air rob banjir menghantam pisisir maka nya dibuat reklamasi fungsi utama nya utk cagar alam dan wisata alam bukan jadi buat bangun bangunan lama juga bakalan hancur dengan sendiri nya,"['cpi', 'tujuan', 'nya', 'untuk', 'mencegah', 'air', 'rob', 'banjir', 'menghantam', 'pisisir', 'maka', 'nya', 'dibuat', 'reklamasi', 'fungsi', 'utama', 'nya', 'utk', 'cagar', 'alam', 'dan', 'wisata', 'alam', 'bukan', 'jadi', 'buat', 'bangun', 'bangunan', 'lama', 'juga', 'bakalan', 'hancur', 'dengan', 'sendiri', 'nya']","['cpi', 'tujuan', 'nya', 'mencegah', 'air', 'rob', 'banjir', 'menghantam', 'pisisir', 'nya', 'reklamasi', 'fungsi', 'utama', 'nya', 'utk', 'cagar', 'alam', 'wisata', 'alam', 'bangun', 'bangunan', 'hancur', 'nya']",cpi tuju nya cegah air rob banjir hantam pisisir nya reklamasi fungsi utama nya utk cagar alam wisata alam bangun bangun hancur nya
Negara dijual ke aseng koq bangga siy.....,Negara dijual ke aseng koq bangga siy,negara dijual ke aseng koq bangga siy,"['negara', 'dijual', 'ke', 'aseng', 'koq', 'bangga', 'siy']","['negara', 'dijual', 'aseng', 'koq', 'bangga', 'siy']",negara jual aseng koq bangga siy
Berapa triliun di jual coy 🤣,Berapa triliun di jual coy ,berapa triliun di jual coy ,"['berapa', 'triliun', 'di', 'jual', 'coy']","['triliun', 'jual', 'coy']",triliun jual coy
"Alangkah lebih indah klo cpi tdak usah di bangun rumah,, di khususkan gedung2 tinggi seperti perkantoran,hotel,apartemen,kampus n pusat perbelanjaan",Alangkah lebih indah klo cpi tdak usah di bangun rumah di khususkan gedung tinggi seperti perkantoranhotelapartemenkampus n pusat perbelanjaan,alangkah lebih indah klo cpi tdak usah di bangun rumah di khususkan gedung tinggi seperti perkantoranhotelapartemenkampus n pusat perbelanjaan,"['alangkah', 'lebih', 'indah', 'klo', 'cpi', 'tdak', 'usah', 'di', 'bangun', 'rumah', 'di', 'khususkan', 'gedung', 'tinggi', 'seperti', 'perkantoranhotelapartemenkampus', 'n', 'pusat', 'perbelanjaan']","['alangkah', 'indah', 'klo', 'cpi', 'tdak', 'bangun', 'rumah', 'khususkan', 'gedung', 'perkantoranhotelapartemenkampus', 'n', 'pusat', 'perbelanjaan']",alangkah indah klo cpi tdak bangun rumah khusus gedung perkantoranhotelapartemenkampus n pusat belanja
"rugilah pengembangnya..ini kan dibiayai swasta..demandnya rumah tinggi, kelihatannya harganya minimal 3 M. Studio room apartemen di CPI saja harga paling murah 700 juta. Sama aja kayak PIK 2 isinya ruko semua , biar cepat laku dibeli dan balik modal pengembangnya..kalau diisi gedung tinggi harus cari investor yg banyak pasti belasan / puluhan tahun baru jadi😆",rugilah pengembangnyaini kan dibiayai swastademandnya rumah tinggi kelihatannya harganya minimal  M Studio room apartemen di CPI saja harga paling murah  juta Sama aja kayak PIK  isinya ruko semua  biar cepat laku dibeli dan balik modal pengembangnyakalau diisi gedung tinggi harus cari investor yg banyak pasti belasan  puluhan tahun baru jadi,rugilah pengembangnyaini kan dibiayai swastademandnya rumah tinggi kelihatannya harganya minimal  m studio room apartemen di cpi saja harga paling murah  juta sama aja kayak pik  isinya ruko semua  biar cepat laku dibeli dan balik modal pengembangnyakalau diisi gedung tinggi harus cari investor yg banyak pasti belasan  puluhan tahun baru jadi,"['rugilah', 'pengembangnyaini', 'kan', 'dibiayai', 'swastademandnya', 'rumah', 'tinggi', 'kelihatannya', 'harganya', 'minimal', 'm', 'studio', 'room', 'apartemen', 'di', 'cpi', 'saja', 'harga', 'paling', 'murah', 'juta', 'sama', 'aja', 'kayak', 'pik', 'isinya', 'ruko', 'semua', 'biar', 'cepat', 'laku', 'dibeli', 'dan', 'balik', 'modal', 'pengembangnyakalau', 'diisi', 'gedung', 'tinggi', 'harus', 'cari', 'investor', 'yg', 'banyak', 'pasti', 'belasan', 'puluhan', 'tahun', 'baru', 'jadi']","['rugilah', 'pengembangnyaini', 'dibiayai', 'swastademandnya', 'rumah', 'harganya', 'minimal', 'm', 'studio', 'room', 'apartemen', 'cpi', 'harga', 'murah', 'juta', 'aja', 'kayak', 'pik', 'isinya', 'ruko', 'biar', 'cepat', 'laku', 'dibeli', 'modal', 'pengembangnyakalau', 'diisi', 'gedung', 'cari', 'investor', 'yg', 'belasan', 'puluhan']",rugi pengembangnyaini biaya swastademandnya rumah harga minimal m studio room apartemen cpi harga murah juta aja kayak pik isi ruko biar cepat laku beli modal pengembangnyakalau isi gedung cari investor yg bas puluh
"​@@andipejalan3382emg pemerintah harusnya fokus ke gedung2 tinggi, dibuat aturan.. soalnya pemerintah juga ngeluh lahan2 smkin habis",andipejalanemg pemerintah harusnya fokus ke gedung tinggi dibuat aturan soalnya pemerintah juga ngeluh lahan smkin habis,andipejalanemg pemerintah harusnya fokus ke gedung tinggi dibuat aturan soalnya pemerintah juga ngeluh lahan smkin habis,"['andipejalanemg', 'pemerintah', 'harusnya', 'fokus', 'ke', 'gedung', 'tinggi', 'dibuat', 'aturan', 'soalnya', 'pemerintah', 'juga', 'ngeluh', 'lahan', 'smkin', 'habis']","['andipejalanemg', 'pemerintah', 'fokus', 'gedung', 'aturan', 'pemerintah', 'ngeluh', 'lahan', 'smkin', 'habis']",andipejalanemg perintah fokus gedung atur perintah ngeluh lahan smkin habis
